WKT,name,description
"POLYGON ((46.813125 24.58378, 46.8143692 24.5836702, 46.8188281 24.5794045, 46.826461 24.573594, 46.865399 24.548571, 46.8977071 24.5290731, 46.9140001 24.551699, 46.9124432 24.575886, 46.908641 24.5866287, 46.8893619 24.5918798, 46.868312 24.586956, 46.839123 24.601753, 46.837567 24.60303, 46.829013 24.608516, 46.816918 24.615992, 46.814643 24.616649, 46.812594 24.617306, 46.811327 24.617982, 46.810168 24.618796, 46.809025 24.62015, 46.808075 24.621661, 46.806305 24.624791, 46.803321 24.630795, 46.799172 24.62911, 46.795795 24.62801, 46.791682 24.627332, 46.780205 24.625441, 46.778695 24.624964, 46.776427 24.624048, 46.774083 24.622656, 46.771911 24.621128, 46.769347 24.618305, 46.767545 24.615294, 46.765378 24.612352, 46.768289 24.611285, 46.772153 24.608928, 46.775137 24.606804, 46.795009 24.596439, 46.805229 24.590149, 46.808842 24.5874, 46.808814 24.587397, 46.813125 24.58378))",55-Riyadh_Al Manakh_15,
"POLYGON ((46.6046834 24.576966, 46.6047804 24.576791, 46.6239299 24.5662415, 46.6364218 24.5612779, 46.6447934 24.560373, 46.6542791 24.5676775, 46.6663284 24.569753, 46.6761377 24.5742601, 46.6804794 24.577415, 46.6858534 24.581892, 46.6919544 24.585229, 46.7021914 24.586224, 46.7044266 24.5901113, 46.7031384 24.598785, 46.7059344 24.603513, 46.7069034 24.607695, 46.7066864 24.613498, 46.7062434 24.617349, 46.7057498 24.6208796, 46.7055388 24.6258423, 46.7044484 24.63102, 46.6921124 24.62983, 46.6900834 24.626026, 46.6868744 24.625488, 46.6841236 24.6252559, 46.6824836 24.6256077, 46.6792961 24.6253535, 46.6736994 24.625265, 46.6695717 24.6269534, 46.6661964 24.6274212, 46.6605307 24.6277267, 46.6582495 24.6270579, 46.6573335 24.6254643, 46.6552379 24.6211987, 46.6510004 24.617693, 46.6487414 24.617594, 46.6456514 24.617731, 46.6426584 24.61774, 46.6409844 24.617254, 46.6302294 24.610789, 46.6148544 24.601252, 46.6119934 24.604985, 46.6109634 24.606845, 46.6105054 24.608965, 46.6020874 24.614167, 46.5853504 24.610226, 46.5861014 24.608589, 46.5874854 24.60597, 46.5890254 24.602749, 46.5906504 24.599543, 46.5948774 24.591308, 46.5964704 24.58844, 46.5983214 24.585747, 46.6017974 24.581015, 46.6046834 24.576966))",130-Riyadh_Al Uraija Al Wusta_9,
"GEOMETRYCOLLECTION (POLYGON ((46.7231741 24.6935914, 46.723173 24.693585, 46.723218 24.693601, 46.7232057 24.6935983, 46.7231741 24.6935914)), POLYGON ((46.7231741 24.6935914, 46.7234093 24.6950051, 46.7230204 24.6962495, 46.7230717 24.6974734, 46.7229644 24.6980184, 46.7241875 24.6982125, 46.7205743 24.7020104, 46.717385 24.7098033, 46.6998195 24.7130761, 46.6980032 24.7124898, 46.6973909 24.7120455, 46.6967786 24.711991, 46.6962826 24.7117448, 46.6952312 24.7113131, 46.6925685 24.7103835, 46.6894972 24.7091105, 46.6864113 24.7081623, 46.6872306 24.7058885, 46.6760547 24.7034503, 46.6780778 24.6991114, 46.6802876 24.6955467, 46.6818099 24.6925267, 46.6842328 24.6868877, 46.688337 24.67957, 46.699336 24.683961, 46.699642 24.683402, 46.706972 24.6865, 46.714313 24.689647, 46.715541 24.690979, 46.715953 24.691325, 46.716343 24.691595, 46.717987 24.69246, 46.7231741 24.6935914)))",46-Riyadh_As Sulimaniyah_6,
"POLYGON ((46.722298 24.79262, 46.722314 24.792591, 46.740253 24.800188, 46.758042 24.807668, 46.794057 24.822901, 46.819901 24.83224, 46.845487 24.837565, 46.8497791 24.843073, 46.8463459 24.8583381, 46.840881 24.903603, 46.8351195 24.9208776, 46.814935 24.936283, 46.7966563 24.8936082, 46.8072993 24.8758557, 46.803837 24.869974, 46.7960059 24.8656961, 46.778192 24.853978, 46.723519 24.828227, 46.719819 24.826281, 46.718754 24.825762, 46.717715 24.823846, 46.715588 24.819407, 46.714274 24.816613, 46.713643 24.814301, 46.713588 24.811919, 46.713786 24.810572, 46.714134 24.80905, 46.71757 24.80205, 46.722298 24.79262))",N-38-Riyadh_Qurtubah_4,
"POLYGON ((46.5247676 24.5408315, 46.5312907 24.546765, 46.579444 24.543418, 46.6308468 24.5462021, 46.6330947 24.5488629, 46.637231 24.5513674, 46.638376 24.552365, 46.644562 24.554302, 46.645257 24.559524, 46.644965 24.560373, 46.644381 24.561174, 46.642613 24.560484, 46.639858 24.560125, 46.637704 24.56038, 46.63555 24.560831, 46.633382 24.561895, 46.629004 24.563916, 46.620892 24.567722, 46.609174 24.573207, 46.607136 24.574521, 46.605099 24.576772, 46.598536 24.585604, 46.595105 24.591217, 46.590903 24.599561, 46.584485 24.612448, 46.578367 24.625294, 46.575509 24.621853, 46.572264 24.618567, 46.565475 24.612307, 46.558599 24.605949, 46.551895 24.599551, 46.526468 24.587764, 46.4950374 24.5664565, 46.4908269 24.5528803, 46.5067674 24.5440456, 46.5247676 24.5408315))",108-Riyadh_Tuwaiq_14,
"POLYGON ((46.657315 24.674412, 46.6580806 24.6746302, 46.6630003 24.6748688, 46.6669005 24.6749659, 46.668815 24.675414, 46.6759389 24.6754027, 46.678208 24.675342, 46.6818397 24.6771518, 46.6847936 24.6783518, 46.688337 24.679531, 46.6843301 24.6878723, 46.6802876 24.6955077, 46.6760547 24.7034503, 46.6709668 24.7132713, 46.663705 24.728485, 46.6538556 24.7228768, 46.636229 24.715954, 46.623185 24.703875, 46.634699 24.686872, 46.635051 24.686781, 46.635543 24.686577, 46.635998 24.686368, 46.63665 24.685989, 46.638109 24.685062, 46.641905 24.682536, 46.652567 24.67546, 46.654144 24.674397, 46.6553297 24.6744899, 46.657315 24.674412))",16-Riyadh_Umm Al Hamam Al Gharbi_5,
"POLYGON ((46.623185 24.703914, 46.623423 24.704129, 46.624526 24.705363, 46.625774 24.706627, 46.628326 24.709302, 46.632937 24.713888, 46.63453 24.715074, 46.636229 24.715993, 46.637658 24.716682, 46.639184 24.717312, 46.664059 24.727782, 46.662837 24.7296042, 46.6620123 24.7325252, 46.6595799 24.7366902, 46.6563817 24.742846, 46.6542143 24.7472864, 46.6519098 24.7512073, 46.647185 24.760907, 46.6220273 24.7504948, 46.590421 24.73632, 46.595188 24.729497, 46.6001335 24.7263765, 46.610531 24.717056, 46.61405 24.714236, 46.618555 24.710364, 46.619187 24.709665, 46.620097 24.70844, 46.621067 24.707055, 46.623185 24.703914))",13-Riyadh_King Saud University_5,
"POLYGON ((46.6865147 24.7769852, 46.7031564 24.7439291, 46.7394745 24.7596056, 46.722305 24.792593, 46.6865147 24.7769852))",Polygon 34,
"POLYGON ((46.663705 24.728524, 46.671759 24.7120484, 46.6925301 24.7210927, 46.7098679 24.7270178, 46.7088379 24.7329427, 46.7031564 24.7439291, 46.663705 24.728524))",Polygon 35,
"POLYGON ((46.671759 24.7120484, 46.6760547 24.7034503, 46.6872306 24.7058885, 46.6864113 24.7081623, 46.682402 24.7164147, 46.671759 24.7120484))",Polygon 37,
